address,school_name,school_type,school_year
"28 D Street Ne, Miami, OK 74354",4-States Academy of Cosmetology,Private for-profit,< 2-year
"3810 E Southport Rd., Indianapolis, IN 46237",A Cut Above Beauty College,Private for-profit,< 2-year
"800 W Jefferson, Kirksville, MO 63501",A T Still University of Health Sciences,Private not-for-profit,4-year
,A. Gary Anderson Graduate School of Management,,
"11690 Doolittle Drive, Waldorf, MD 20602",Aaron's Academy of Beauty,Private for-profit,< 2-year
"2101 Parkway Dr, Saint Peters, MO 63376",Abbott Academy of Cosmetology Arts and Sciences LLC,Private for-profit,< 2-year
"843 E Main Ste 203, Medford, OR 97504",Abdill Career College Inc,Private for-profit,< 2-year
,ABI School of Barbering & Cosmetology of Tribeca,Private for-profit,< 2-year
"1600 Campus Court, Abilene, TX 79699",Abilene Christian University,Private not-for-profit,4-year
"2500 Maryland Rd Ste 200, Willow Grove, PA 19090",Abington Memorial Hospital Dixon School of Nursing,Private not-for-profit,2-year
"2802 Moore Hwy, Tifton, GA 31793",Abraham Baldwin Agricultural College,Public,4-year
"Concordia 8180 Esq Aurora, Ponce, PR 00717",Academia Serrant Inc,Private for-profit,< 2-year
"Campio Alonso 41, Caguas, PR 00725",Academia Vocational Del Turabo,Private for-profit,< 2-year
"1101 E. 78th Street\nSuite 100, Minneapolis, MN 55420",Academy College,Private for-profit,4-year
"950 Yale Ave Unit 20, Wallingford, CT 06492",Academy Di Capelli-School of Cosmetology,Private for-profit,< 2-year
"1180-A East Hallandale Beach Blvd, Hallandale Beach, FL 33009",Academy For Five Element Acupuncture,Private not-for-profit,4-year
,Academy for Practical Nursing & Health Occupations,Private not-for-profit,< 2-year
"79 New Montgomery, San Francisco, CA 94105",Academy of Art University,Private for-profit,4-year
"19557 Parthenia St, Northridge, CA 91324",Academy of Barbering Arts,Private for-profit,< 2-year
"390 Stanaford Rd, Beckley, WV 25801",Academy of Careers and Technology,Public,< 2-year
"1601 Clay St, Oakland, CA 94612",Academy of Chinese Culture and Health Sciences,Private not-for-profit,4-year
"1901 W Wm Cannon Ste 143, Austin, TX 78745",Academy of Cosmetology,Private for-profit,< 2-year
"2088 N. Courtenay Parkway, Merritt Island, FL 32953",Academy of Cosmetology,Private for-profit,< 2-year
"2310 W Court St, Janesville, WI 53548",Academy of Cosmetology,Private for-profit,2-year
"5117 Dorchester Rd, Charleston, SC 29418",Academy of Cosmetology,Private for-profit,< 2-year
